120,120,120,0,1,1,1,1,1,1,1,1,1,0,120,120,68,69,69,69,69,69,69,69,69,68,120,120,120,120
120,120,120,0,221,221,221,221,221,221,221,221,221,1,0,120,68,221,221,221,221,221,221,221,221,69,68,120,120,120
120,120,120,0,221,221,221,221,221,221,221,221,221,221,0,120,68,221,221,221,221,221,221,221,221,221,69,68,120,120
120,120,120,1,1,1,0,221,221,221,221,221,221,221,0,120,68,221,221,221,241,221,221,221,240,221,221,68,120,120
119,119,120,119,119,120,1,0,221,221,240,221,0,1,1,120,68,221,221,221,221,221,221,221,221,221,222,68,120,120
119,113,119,115,119,119,119,0,221,241,0,1,1,120,120,120,68,221,221,221,221,221,221,221,221,221,221,69,68,120
119,119,119,119,119,17,18,18,221,221,17,120,120,120,120,120,68,221,221,221,221,221,221,221,221,221,221,221,68,120
119,119,17,18,18,18,221,221,221,221,18,18,17,120,120,120,68,221,221,221,221,240,221,241,221,68,69,69,69,120
114,119,17,221,221,221,221,221,221,221,221,240,18,18,69,69,69,221,221,68,69,69,69,69,69,69,120,120,120,120
17,18,18,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,68,120,120,120,120,120,120,120,120,120,120
17,221,241,221,221,240,221,221,221,240,221,221,221,221,221,221,221,221,221,35,35,35,35,35,35,35,35,35,35,34
17,221,221,221,221,221,221,221,223,221,221,221,221,221,221,221,221,221,221,221,221,240,221,221,221,221,221,221,221,34
17,221,221,221,221,221,221,221,221,221,221,17,18,34,221,221,221,221,221,221,221,221,221,221,221,221,241,221,221,34
17,221,221,221,221,221,221,221,221,221,221,17,120,34,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,34
17,221,221,221,221,241,221,221,240,221,17,18,120,34,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,34
17,221,221,221,221,221,221,221,221,221,17,120,120,35,34,221,221,221,240,221,221,241,221,221,221,221,224,221,221,34
18,18,18,18,18,18,18,18,18,18,18,120,120,120,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
